query_id,query,difficulty
1,vitamin C serum,easy
2,coconut oil shampoo,easy
3,charcoal face mask,easy
4,retinol cream,easy
5,sunscreen SPF 50,easy
6,tea tree face wash,easy
7,argan oil hair mask,easy
8,something to reduce acne scars,medium
9,gift set that smells like vanilla,medium
10,product to make hair less frizzy,medium
11,gentle cleanser for sensitive skin,medium
12,something to keep skin hydrated all day,medium
13,a good toner for large pores,medium
14,product to help with dark circles under eyes,medium
15,best routine (to fight aging) for dry skin under $25,hard
16,moisturizer without cruelty for winter,hard
17,what helps with sun damage on fair skin,hard
18,affordable hair repair for bleach damage,hard
19,natural remedy for eczema on face,hard
20,best skincare routine for oily acne-prone teenage skin,hard
21,lightweight non-greasy sunscreen for daily wear under makeup,hard
